Mode 0
0  5.935762e-07  bottom_layer_3  top_layer_1
1  1.467338e-02  bottom_layer_3  top_layer_1
8  2.356248e-05  bottom_layer_3  top_layer_1
9  2.467258e-04  bottom_layer_3  top_layer_1
10  5.344028e-04  bottom_layer_3  top_layer_1
12  9.126325e-17  bottom_layer_3  top_layer_1
13  5.811815e-17  bottom_layer_3  top_layer_1
15  1.708697e-16  bottom_layer_3  top_layer_1
17  3.373583e-10  bottom_layer_3  top_layer_1
19  1.278006e-03  bottom_layer_3  top_layer_1
20  6.520497e-09  bottom_layer_3  top_layer_1
21  6.889421e-03  bottom_layer_3  top_layer_1
25  3.002004e-16  bottom_layer_3  top_layer_1
28  5.883011e-17  bottom_layer_3  top_layer_1
29  8.144307e-17  bottom_layer_3  top_layer_1
30  1.055676e-04  bottom_layer_3  top_layer_1
33  2.254268e-03  bottom_layer_3  top_layer_1
34  5.259790e-17  bottom_layer_3  top_layer_1
35  2.058905e-03  bottom_layer_3  top_layer_1
36  6.042644e-17  bottom_layer_3  top_layer_1
37  9.008391e-15  bottom_layer_3  top_layer_1
38  1.036436e-02  bottom_layer_3  top_layer_1
39  5.894534e-03  bottom_layer_3  top_layer_1
40  9.094992e-17  bottom_layer_3  top_layer_1
42  1.345271e-02  bottom_layer_3  top_layer_1
43  5.966659e-17  bottom_layer_3  top_layer_1
44  1.016624e-09  bottom_layer_3  top_layer_1
45  1.356717e-13  bottom_layer_3  top_layer_1
46  1.336405e-06  bottom_layer_3  top_layer_1
47  1.211439e-06  bottom_layer_3  top_layer_1
48  5.633346e-17  bottom_layer_3  top_layer_1
50  8.256753e-15  bottom_layer_3  top_layer_1
51  5.881556e-03  bottom_layer_3  top_layer_1
52  1.463035e-03  bottom_layer_3  top_layer_1
53  4.829621e-08  bottom_layer_3  top_layer_1
54  3.552566e-06  bottom_layer_3  top_layer_1
55  2.427005e-06  bottom_layer_3  top_layer_1
59  6.469943e-17  bottom_layer_3  top_layer_1
61  5.344998e-14  bottom_layer_3  top_layer_1
62  1.513742e-15  bottom_layer_3  top_layer_1
63  5.881308e-17  bottom_layer_3  top_layer_1
64  5.534879e-05  bottom_layer_3  top_layer_1
65  2.184603e-07  bottom_layer_3  top_layer_1
66  1.914954e-02  bottom_layer_3  top_layer_1
67  5.383436e-17  bottom_layer_3  top_layer_1
68  1.316691e-03  bottom_layer_3  top_layer_1
69  5.678149e-17  bottom_layer_3  top_layer_1
70  5.068839e-17  bottom_layer_3  top_layer_1
71  2.190730e-03  bottom_layer_3  top_layer_1
72  1.567605e-02  bottom_layer_3  top_layer_1
73  5.752561e-17  bottom_layer_3  top_layer_1
74  5.697074e-02  bottom_layer_3  top_layer_1
75  3.465660e-04  bottom_layer_3  top_layer_1
76  3.344542e-07  bottom_layer_3  top_layer_1
77  1.588319e-08  bottom_layer_3  top_layer_1
78  2.487257e-16  bottom_layer_3  top_layer_1
79  5.707462e-02  bottom_layer_3  top_layer_1
80  1.501062e-01  bottom_layer_3  top_layer_1
82  1.673279e-16  bottom_layer_3  top_layer_1
83  5.915063e-17  bottom_layer_3  top_layer_1
85  5.347735e-04  bottom_layer_3  top_layer_1
